show_date, show_city, show_venue, song_num, song
2023-07-04,"Tel Aviv","Bitan",8,"Sure Enough, The Telephone Rings"
2023-07-04,"Tel Aviv","Bitan",9,"Knockabout World"
2023-07-04,"Tel Aviv","Bitan",10,"I Wish You Lonely"
2023-07-04,"Tel Aviv","Bitan",11,"Half A Person"
2023-07-04,"Tel Aviv","Bitan",12,"My Hurling Days Are Done"
2023-07-04,"Tel Aviv","Bitan",13,"The Night Pop Dropped"
2023-07-04,"Tel Aviv","Bitan",14,"Stop Me If You Think You've Heard This One Before"
2023-07-04,"Tel Aviv","Bitan",15,"Everyday Is Like Sunday"
2023-07-04,"Tel Aviv","Bitan",16,"Please, Please, Please, Let Me Get What I Want"
2023-07-04,"Tel Aviv","Bitan",17,"The Loop"
2023-07-04,"Tel Aviv","Bitan",18,"Jack The Ripper"
2023-07-04,"Tel Aviv","Bitan",19,"Irish Blood, English Heart"
2023-07-08,"Portsmouth","Guildhall",1,"How Soon Is Now?"
2023-07-08,"Portsmouth","Guildhall",2,"Suedehead"
2023-07-08,"Portsmouth","Guildhall",3,"Our Frank"
2023-07-08,"Portsmouth","Guildhall",4,"I Wish You Lonely"
2023-07-08,"Portsmouth","Guildhall",5,"Girlfriend In A Coma"
2023-07-08,"Portsmouth","Guildhall",6,"I’m Throwing My Arms Around Paris"
2023-07-08,"Portsmouth","Guildhall",7,"Notre-Dame"
2023-07-08,"Portsmouth","Guildhall",8,"Irish Blood, English Heart"
2023-07-08,"Portsmouth","Guildhall",9,"Sure Enough, The Telephone Rings"
2023-07-08,"Portsmouth","Guildhall",10,"The Night Pop Dropped"
2023-07-08,"Portsmouth","Guildhall",11,"Half A Person"
2023-07-08,"Portsmouth","Guildhall",12,"Knockabout World"
2023-07-08,"Portsmouth","Guildhall",13,"My Hurling Days Are Done"
2023-07-08,"Portsmouth","Guildhall",14,"The Loop"
2023-07-08,"Portsmouth","Guildhall",15,"Please, Please, Please Let Me Get What I Want"
2023-07-08,"Portsmouth","Guildhall",16,"Everyday Is Like Sunday"
